#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
961 110.800112 -73.439262 413.57 48.75 515.88 21.7 637.36 30.02 660.75 8.69 1796.91 8.53 2081.31 5.7 2224.23 3.37 2321.91 3.14 2538.13 3.91 1.8179 0.0004 1 "" "" False False 1.8
962 110.859267 -73.439295 625.16 61.18 432.18 28.7 633.71 38.51 777.76 9.83 1004.21 9.33 953.16 5.69 1002.46 3.48 973.19 3.18 874.86 4.23 1.2685 0.0012 2 "" "" False False 1.6
984 110.837708 -73.437023 185.41 77.33 1693.37 37.52 3737.64 49.08 4952.2 13.06 9898.1 13.11 11764.18 9.3 10829.03 6.19 6728.62 4.76 5422.7 5.59 0.3829 0.0017 1 "" "" False False 1.0
1006 110.846548 -73.433758 245.06 44.49 288.29 19.73 377.89 26.62 357.28 6.98 1004.06 6.73 1009.64 4.22 1000.73 2.55 1028.76 2.35 1092.15 3.05 2.1286 0.0004 1 "" "" False False 1.5
1091 110.815687 -73.474463 1468.5 90.04 4475.03 41.71 6484.04 55.36 7728.51 14.89 10959.08 14.42 12321.32 9.63 9523.76 5.98 6498.39 5.14 5535.49 6.36 0.4038 0.0015 1 "" "" False False 1.0
1100 110.842536 -73.472338 147.28 5202.61 32.2 84.99 5.27 125.0 911.19 37.12 9285.51 34.17 17066.13 22.38 31399.38 14.57 48604.43 14.91 66418.64 19.15 1.9807 0.0017 2 "" "" False False 1.6
1107 110.867311 -73.469446 651.82 114.26 3306.2 51.33 7521.9 74.2 10109.92 38.34 17792.72 31.49 20396.15 24.62 "" "" "" "" "" "" 0.3983 0.0017 1 "" "" False False 1.0
1109 110.794964 -73.468084 519.37 77.52 851.95 36.86 897.04 46.81 1007.92 11.68 2170.24 11.13 2307.24 6.92 2261.83 4.33 2309.88 4.01 2386.8 5.24 1.974 0.003 1 "" "" False False 1.8
1112 110.858864 -73.466192 653.95 134.64 891.61 60.59 1788.69 83.61 4282.49 23.76 6512.77 22.33 6623.07 14.24 6255.73 7.55 4880.21 6.8 3928.73 8.81 0.3915 0.004 1 "" "" False False 1.0
1115 110.862427 -73.46624 245.57 98.6 420.67 43.52 926.16 61.0 873.37 17.61 2414.69 16.65 3128.94 10.44 3558.93 5.52 3529.33 5.09 3827.37 6.65 1.9282 0.0017 2 "" "" False False 2.1
1116 110.778189 -73.465931 1314.32 128.23 6632.27 61.51 13003.87 80.26 15222.25 38.17 24464.73 31.33 27833.07 24.23 24978.13 14.22 15428.44 11.68 12345.16 13.96 0.3888 0.0016 1 "" "" False False 1.0
1117 110.7773 -73.465728 414.47 105.67 2582.2 49.43 6736.58 64.7 8837.49 33.65 16988.89 28.08 20765.32 22.22 19201.8 12.29 11812.16 9.91 9388.51 11.63 0.3959 0.0014 1 "" "" False False 1.0
1129 110.873705 -73.464731 175.84 106.9 1693.92 47.96 3530.36 67.67 4973.33 18.91 8669.18 18.21 10026.13 11.99 8794.2 7.56 5645.5 6.64 4263.47 8.19 0.4032 0.0019 1 "" "" False False 1.0
1131 110.793918 -73.464413 214.68 114.43 1415.2 52.64 3830.79 69.89 5979.78 18.4 10236.03 17.63 12695.86 11.58 14551.91 7.57 14269.42 6.94 10804.76 8.31 0.8786 0.0005 2 "" "" False False 1.7
1137 110.809034 -73.461004 71.65 176.09 4151.57 81.77 22034.27 106.24 31238.18 30.92 72429.11 31.94 96974.85 24.44 117622.22 37.7 105005.3 16.95 71167.95 15.32 "" "" -99 0.746 muse False False 2.0
1138 110.81036 -73.460566 -242.04 219.48 959.42 115.05 7748.7 122.67 16536.6 34.04 48561.41 35.15 70964.58 24.96 99833.88 18.49 113991.45 32.09 99722.2 18.92 "" "" -99 1.0826 muse False False 2.9
1145 110.848924 -73.460402 563.64 135.48 5707.72 62.89 14678.35 164.13 18557.26 27.59 39152.89 27.41 46940.51 20.47 44202.46 11.66 28027.99 9.07 22479.46 10.03 0.4013 0.0007 1 0.397 muse False False 1.0
1148 110.824534 -73.460001 583.05 104.43 3770.25 48.89 9444.94 63.97 11812.63 17.92 24437.09 18.79 29384.44 13.45 26677.07 8.88 16486.89 6.78 13218.11 7.66 0.3929 0.0013 1 0.3806 muse False False 1.0
1149 110.825114 -73.459705 2385.9 87.55 2529.55 40.36 2649.82 50.63 2882.25 13.4 6636.44 13.36 5223.35 8.39 3948.01 4.97 3813.33 4.56 3306.54 5.79 1.992 0.0003 1 "" "" False False 23.2
1153 110.771834 -73.459558 505.78 185.26 1983.04 84.35 2214.92 109.08 4224.55 26.33 12999.18 26.1 15931.91 16.67 19124.45 10.97 21407.68 10.46 23349.54 13.15 1.9856 0.0007 2 "" "" True False 2.5
1154 110.770362 -73.459623 47.77 133.15 661.21 60.82 777.23 78.54 1053.49 18.8 2926.97 17.89 3483.63 11.32 4030.02 7.91 4155.84 7.41 4363.27 9.79 2.0314 0.0017 1 "" "" True False 2.5
1155 110.853472 -73.459624 4773.96 110.41 4745.58 51.36 6514.46 67.18 7910.79 17.94 12734.32 16.53 12747.98 10.86 13768.26 7.22 15167.61 6.78 12847.55 8.1 1.0844 0.0001 1 1.0815 muse False True 3.2
1156 110.853868 -73.459242 -142.26 179.05 1054.64 79.38 3227.24 119.57 6624.23 26.66 17904.51 25.69 22638.11 16.88 28234.99 11.66 31342.1 11.11 25903.55 12.82 "" "" -99 1.0823 muse False False 3.3
1157 110.855887 -73.458969 -233.07 90.85 401.75 40.48 902.7 55.51 1713.32 13.32 3720.19 12.97 4511.61 8.38 5254.26 5.38 5726.59 4.99 4891.96 6.19 "" "" -99 1.0833 muse False False 3.4
1158 110.856826 -73.458888 205.71 115.65 947.91 51.35 1910.41 84.42 2768.73 16.97 6153.12 16.58 6965.88 10.55 8538.45 6.91 10265.1 6.51 9153.0 7.99 1.0909 0.0003 1 1.0833 muse False False 3.4
1161 110.864744 -73.459065 147.29 134.21 2180.74 60.15 5535.23 83.16 7501.18 20.91 14442.75 20.45 17495.79 13.6 16113.09 8.47 10049.13 7.2 7902.62 9.05 0.4052 0.0018 1 "" "" False False 1.1
1162 110.865734 -73.459067 184.41 95.66 1309.29 43.56 2967.05 59.55 4324.85 15.05 7689.12 14.77 9004.67 9.71 8040.86 6.08 5102.42 5.17 3888.5 6.46 0.4008 0.0034 1 "" "" False False 1.0
1163 110.802652 -73.458755 859.48 173.91 6480.13 81.99 16716.11 105.5 21903.97 35.3 46471.86 34.79 56231.91 25.48 52755.85 14.04 32432.6 10.75 25437.24 12.43 0.3925 0.0012 1 0.3905 muse False False 1.0
1168 110.806643 -73.458258 1289.35 262.51 2309.8 128.75 2681.96 152.82 3986.45 46.06 12162.63 44.73 13618.96 28.22 15135.66 14.32 15105.84 13.19 14095.31 17.12 2.2117 0.0009 2 2.211 nirspec False False 11.9
1169 110.803694 -73.457471 3573.67 150.17 3788.18 71.39 8077.01 88.27 11341.42 27.06 21184.65 26.25 27821.33 18.47 33926.92 11.0 34012.45 10.1 25532.96 11.16 0.9318 0.0002 1 0.9366 muse False False 3.8
1173 110.832865 -73.457027 1894.5 439.73 8000.66 74.29 19330.23 83.93 24190.06 29.22 53285.03 30.15 65624.86 24.03 61046.02 71.17 38482.87 11.04 31313.46 10.81 0.3838 0.0015 1 0.3869 muse False False 1.0
1175 110.780234 -73.457012 432.81 102.75 4050.66 51.9 10356.54 64.14 13118.25 17.77 28212.1 18.96 35048.6 15.06 33170.55 13.06 20699.73 8.03 16846.92 8.35 0.3928 0.0009 1 "" "" False False 1.0
1183 110.759056 -73.455824 1540.16 181.99 11858.37 86.25 30466.21 113.98 39841.61 35.85 89914.27 37.41 111085.97 29.77 105971.52 21.98 63987.11 15.56 52355.84 16.46 0.3816 0.0009 1 "" "" False False 1.0
1184 110.758263 -73.455102 664.19 117.13 1301.12 54.65 1483.74 69.61 2169.69 17.76 8147.3 17.71 11163.39 11.96 12637.42 8.62 14451.52 8.27 15864.76 10.12 1.9826 0.0006 1 "" "" False False 2.4
1186 110.842945 -73.454724 1582.76 138.47 2704.77 73.81 3812.56 138.83 6019.54 21.41 13052.14 21.2 13763.31 13.87 15238.44 8.75 16245.05 7.97 16554.49 9.73 1.4502 0.0004 2 1.4503 muse False False 28.9
1187 110.805116 -73.454697 1808.26 210.88 2932.49 99.21 3904.65 125.88 5951.6 31.49 16054.04 31.16 17318.77 20.5 18580.16 11.93 18754.07 10.88 19154.94 13.93 "" "" -99 2.211 nirspec False False 17.2
1199 110.822584 -73.452636 3402.13 189.9 3275.15 100.68 4897.11 108.13 6539.98 38.04 12499.4 32.41 13544.62 23.89 15442.48 10.14 14907.57 9.2 14146.23 11.42 "" "" -99 1.4254 muse False False 63.2
1200 110.823852 -73.451902 507.15 135.63 1327.48 73.47 2262.43 81.39 3299.48 23.32 6739.77 21.09 7190.69 14.4 8192.74 7.16 8028.41 6.54 7808.05 8.29 1.4358 0.0016 2 1.4254 muse False False 47.7
1201 110.778688 -73.452663 176.6 95.76 2055.67 47.17 4666.64 59.86 5968.47 15.41 11688.19 15.23 13809.53 10.78 12732.03 6.59 7835.68 5.46 6252.96 6.59 0.3867 0.0019 1 "" "" False False 1.0
1205 110.772955 -73.450437 963.0 146.39 8766.92 111.56 23093.9 94.4 31209.23 26.39 69319.82 28.42 86221.9 22.89 63731.81 47.54 52545.08 12.31 43499.76 12.35 0.3905 0.001 1 "" "" False False 1.0
1215 110.805037 -73.449552 1429.24 107.12 4521.58 98.75 8478.46 66.49 9702.05 18.87 17396.3 18.42 21001.35 13.31 21617.77 8.21 14279.22 6.7 11459.64 7.58 0.41 0.0012 1 0.4138 muse False False 1.1
1216 110.79783 -73.4489 40.06 226.08 1779.43 117.03 5295.72 141.54 13057.22 35.75 38440.45 36.55 54303.93 26.22 77985.92 16.79 90659.2 15.79 87920.54 17.6 "" "" -99 1.163 nirspec False False 3.6
1222 110.781808 -73.448411 738.13 118.0 1061.46 55.28 1533.03 70.98 2517.55 17.43 5638.21 16.99 5612.98 10.8 5225.52 6.37 5024.34 5.84 5160.08 7.66 1.799 0.0009 2 "" "" False False 3.0
1225 110.872152 -73.448065 623.95 95.81 4137.12 49.1 9592.48 62.29 12355.31 18.82 24979.19 18.94 30740.95 14.15 30168.33 9.68 19476.72 7.23 15486.23 7.88 0.4155 0.0007 1 "" "" False False 1.1
1226 110.81854 -73.446368 348.81 331.38 820.16 95.19 697.96 132.62 4192.96 30.45 8366.91 29.17 8710.06 18.04 7540.66 10.55 7031.06 9.57 6835.78 12.71 1.8684 0.0009 2 "" "" False False 3.2
1227 110.817051 -73.446337 396.44 88.34 630.78 41.73 532.53 53.45 759.88 14.14 1489.86 13.49 1435.09 8.34 1262.28 4.41 1218.01 4.03 1249.63 5.36 1.869 0.0004 1 "" "" False False 3.2
1230 110.840414 -73.44355 -9.08 140.44 2468.42 65.53 6853.68 86.66 10211.42 22.59 21445.8 22.48 26079.83 15.17 24813.82 9.48 15316.27 7.96 12120.56 9.83 0.3953 0.0019 1 "" "" False False 1.0
1233 110.828252 -73.443315 335.91 141.24 2121.84 67.36 5559.38 321.16 8635.72 22.34 16117.91 21.71 18795.95 14.27 17475.89 8.78 10684.94 7.55 8202.32 9.59 0.3888 0.004 1 "" "" False False 1.0
1245 110.838873 -73.440779 151.06 111.88 1440.37 52.51 4103.67 70.94 5896.65 17.95 12455.61 17.75 17089.56 12.32 22054.69 8.29 19583.51 7.28 14427.53 8.22 0.6988 0.0011 2 "" "" False False 2.1
1246 110.840709 -73.44072 704.93 95.17 4180.52 46.08 9452.52 62.24 11889.19 17.11 22128.18 17.52 26127.43 12.92 23869.59 8.87 14911.91 6.65 11925.25 7.34 0.3863 0.0016 1 "" "" False False 1.0
1249 110.814997 -73.440175 45.37 64.93 206.71 28.02 291.81 39.43 304.45 8.7 574.75 8.22 570.9 5.04 628.43 3.14 648.93 2.89 612.32 3.93 1.4957 0.0011 2 1.5075 nirspec False False 1.8
3861 110.788652 -73.472292 113.64 27.73 65.97 13.1 161.08 17.08 198.91 7.78 274.09 5.91 292.8 4.31 "" "" "" "" "" "" 0.7806 0.0012 2 "" "" False False 1.3
4155 110.795544 -73.470067 160.43 28.63 148.96 13.58 244.55 16.41 257.16 4.53 252.61 4.26 271.5 2.64 267.79 1.78 224.32 1.63 152.61 2.16 0.7953 0.0014 2 "" "" False False 1.4
4638 110.867406 -73.466332 126.14 28.17 181.95 13.15 218.74 17.05 263.52 5.41 351.43 5.0 330.55 3.3 342.06 1.82 347.55 1.67 277.84 2.15 1.0661 0.0008 2 "" "" False False 1.7
4932 110.803393 -73.463819 121.16 28.28 83.13 12.64 123.53 16.36 166.94 4.3 218.2 4.08 168.73 2.5 177.35 1.54 154.12 1.4 154.73 1.88 1.248 0.0005 2 "" "" False False 2.1
6300 110.762895 -73.453548 35.07 30.43 37.88 13.72 56.35 17.49 92.31 4.41 94.31 4.06 106.53 2.58 194.49 1.63 153.85 1.47 130.33 1.95 4.5557 0.0029 2 "" "" False False 3.3
6885 110.859351 -73.449163 8.42 26.99 -0.01 12.09 -38.46 17.06 -5.9 5.09 62.39 4.87 61.81 3.0 66.22 1.51 65.78 1.37 139.82 1.85 "" "" -99 8.498 nirspec False False 8.3
7261 110.839666 -73.44536 -74.5 27.06 -1.0 12.51 32.79 16.48 37.89 4.11 77.88 3.85 61.57 2.43 74.13 1.48 155.84 1.43 91.98 1.88 "" "" -99 6.383 nirspec False False 3.4
7300 110.80646 -73.444975 42.81 28.82 38.2 12.71 46.91 17.12 50.25 5.14 54.08 5.05 127.08 3.07 94.94 1.46 50.09 1.33 57.32 1.8 2.7295 0.0005 2 "" "" False False 2.9
7352 110.844069 -73.444225 74.29 26.87 59.41 12.93 54.65 16.67 76.95 4.13 118.9 3.92 55.17 2.35 80.14 1.5 51.48 1.33 70.08 1.81 1.3706 0.0003 1 "" "" False False 2.1
7388 110.83723 -73.443793 142.68 35.05 50.63 15.78 103.7 21.73 91.97 5.11 166.01 4.85 165.77 3.05 173.57 1.84 171.29 1.69 174.39 2.25 1.5086 0.0011 2 "" "" False False 2.2
7911 110.844572 -73.435068 37.33 31.58 -10.56 14.18 -17.55 18.68 2.32 4.83 143.32 4.59 152.98 2.83 175.4 1.7 218.11 1.59 565.04 2.18 "" "" -99 7.665 nirspec False False 1.7
7936 110.833999 -73.434526 -1.21 27.84 6.92 13.18 21.49 17.64 3.74 4.2 79.33 3.94 66.94 2.37 70.76 1.47 74.34 1.34 152.46 1.85 "" "" -99 7.663 nirspec False False 1.7
9528 110.840674 -73.441505 43.74 30.67 130.64 15.49 94.11 19.17 99.4 4.7 122.51 4.39 214.65 2.74 184.25 1.72 154.85 1.55 169.79 2.07 3.0807 0.0006 2 "" "" False False 2.1
10001 110.837011 -73.456594 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3989 0.0015 1 0.398 muse False False 1.1
10002 110.792751 -73.447702 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3845 0.0003 1 "" "" False False 1.0
10003 110.845834 -73.451425 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3868 0.0012 1 0.3847 muse False False 1.0
10004 110.880115 -73.451425 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3736 0.0005 1 "" "" False False 2.6
10005 110.875205 -73.457163 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.397 0.0009 1 "" "" False False 1.0
10006 110.856717 -73.44132 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3942 0.0007 1 "" "" False False 1.1
10007 110.818702 -73.455299 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3899 0.0007 1 0.3849 muse False False 1.1
10008 110.818421 -73.45469 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3946 0.0011 1 0.3909 muse False False 1.2
10009 110.855211 -73.450278 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3937 0.0012 1 0.3865 muse False False 1.0
10010 110.825883 -73.458769 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3949 0.0005 1 0.3888 muse False False 1.1
20001 110.800758 -73.448608 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.394 muse False False 1.5
20002 110.825389 -73.454646 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3774 muse False False 1.0
20003 110.826946 -73.454726 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3914 muse False False 1.3
20004 110.840272 -73.455912 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3911 muse False False 1.2
20005 110.837743 -73.456271 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3896 muse False False 1.0
20006 110.853983 -73.45015 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3848 muse False False 1.0
20007 110.794617 -73.449162 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 5.171 nirspec False False 8.9
20008 110.826593 -73.455058 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -99 0.3915 muse False False 1.1
