#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
502 110.867622 -73.464139 178.99 154.2 4011.37 68.72 9577.53 97.68 13635.93 24.31 27478.13 24.03 32953.89 16.38 29371.59 10.35 17775.07 8.73 14041.29 10.64 0.392 0.0015 1 "" "" False False 1.0
506 110.830329 -73.464042 992.16 91.69 4186.98 42.42 10001.07 57.12 12493.53 16.14 25071.99 16.83 30061.57 12.76 27480.09 8.42 16939.42 6.37 13662.49 6.96 0.3938 0.0008 1 "" "" False False 1.0
507 110.81779 -73.464189 172.76 31.81 223.79 14.43 292.52 17.99 366.6 4.85 498.26 4.59 502.77 2.89 517.57 1.81 519.13 1.65 443.14 2.1 1.1348 0.0019 2 "" "" False False 2.1
516 110.783956 -73.463544 83.1 49.78 170.5 22.79 300.34 29.83 445.96 8.13 1148.94 7.85 1318.9 5.03 1632.44 2.98 1753.4 2.75 1856.01 3.57 1.4729 0.0009 2 "" "" False False 2.0
522 110.848874 -73.463069 868.39 102.22 2896.09 46.42 7139.55 127.43 8903.54 20.53 17596.29 19.82 20666.97 14.34 18819.25 7.75 11702.34 6.07 9225.91 7.1 0.4066 0.0018 1 "" "" False False 1.0
524 110.809965 -73.46312 317.76 49.15 593.07 22.49 1200.67 28.71 1491.58 7.77 3014.52 7.75 3791.46 5.36 4386.44 3.56 3414.43 3.04 2579.03 3.51 0.5972 0.0008 2 "" "" False False 1.5
533 110.849716 -73.462602 283.59 53.07 458.65 25.09 669.22 58.66 765.93 9.72 990.51 9.16 1037.64 5.87 854.75 2.95 552.24 2.56 440.4 3.38 0.3229 0.0005 1 0.3217 muse False False 1.0
534 110.772449 -73.462393 307.83 103.46 1159.69 48.55 1469.97 62.55 1652.27 23.28 1653.06 19.28 1869.82 13.3 1865.76 6.49 1559.53 6.01 1177.61 8.11 0.728 0.0007 2 "" "" True False 1.5
539 110.865293 -73.462121 270.82 74.51 2943.04 34.61 7193.75 48.36 9084.18 13.4 19459.64 14.29 23864.71 11.14 22187.21 8.22 13749.81 5.87 11092.96 6.11 0.3971 0.0011 1 "" "" False False 1.0
541 110.768942 -73.461845 912.7 171.44 8917.6 81.26 22621.08 107.48 28755.9 38.22 60921.99 35.92 74220.52 27.96 72337.49 23.95 44695.0 17.76 36019.82 19.25 0.3945 0.001 1 "" "" False False 1.0
545 110.788009 -73.461824 -58.23 59.54 66.57 26.92 175.37 36.04 214.96 10.97 339.06 10.4 401.89 6.42 723.38 3.28 773.32 3.01 892.58 4.03 "" "" -99 5.275 nirspec False False 3.3
560 110.776053 -73.461249 185.02 59.4 190.39 26.81 139.52 35.53 231.15 8.55 446.82 8.05 452.48 5.03 502.72 3.26 501.77 2.97 472.19 3.99 1.4745 0.0018 2 "" "" False False 2.2
562 110.78515 -73.460985 149.14 64.92 1156.66 30.6 2359.28 38.48 3134.24 12.75 5681.74 12.21 6713.14 8.81 6038.08 4.49 3743.36 3.75 2984.51 4.58 0.3813 0.0025 1 "" "" False False 1.0
566 110.890203 -73.460525 398.85 119.65 1180.35 55.45 2564.55 75.98 3716.01 18.5 9685.83 18.38 13184.22 12.06 14897.43 7.97 18119.65 7.32 20728.89 9.03 2.1558 0.0009 1 "" "" True False 2.4
571 110.830443 -73.460586 163.21 143.25 501.02 32.01 909.41 46.65 1019.91 10.63 1432.47 10.17 1563.01 6.29 1613.05 3.86 1339.44 3.54 949.41 4.57 "" "" -99 0.7455 muse False False 2.2
601 110.863797 -73.459619 23.71 64.61 777.39 28.31 1811.24 41.05 2225.85 10.11 4358.42 9.96 5180.87 6.76 4695.24 4.25 2917.47 3.55 2297.67 4.4 0.4023 0.0023 1 "" "" False False 1.0
